"name","details","frequency","avg_use","orders_count","date_range","total_cost","amount","status"
"Librela Solution 1mL vial","10mg/mL (22.2-44.1 lb), 6 count","Monthly","0.50 / month","12 orders","2024-04-22 — 2026-02-26","$2,690.30","for 12 box","Not mapped"
"Low Dead Space Syringe with Needle(Soft Pack)","Sterile, 3ml, Luer Lock, 22g x 3/4"", 100 Count","EOW","2.77 / EOW","48 orders","2024-04-22 — 2026-04-14","$2,480.98","for 159 box","Not mapped"
"Methadone HCL (C-2) 10mg/mL, 20mL","","Quarterly","1.25 / quarter","3 orders","2025-05-14 — 2026-04-28","$2,400.26","for 5 vial","Not mapped"
"Kennel Kare SC (Super Concentrate)","5 Gallon","Monthly","0.33 / month","7 orders","2025-03-10 — 2026-03-12","$1,725.00","for 5 order unit","Not mapped"
"Datamars Microfindr Slim","Vet Pack (Pre-Loaded Implanters & Client Materials), 25 Count","Quarterly","0.50 / quarter","4 orders","2024-06-27 — 2025-12-05","$1,615.00","for 4 box","Not mapped"
"VS OPTICELL CONSUMABLE KIT (50 TESTS)","","Monthly","0.33 / month","2 orders","2025-11-10 — 2026-03-12","$1,517.45","for 2 Pack","Not mapped"
"PropoFlo 28 (Propofol) Anesthetic Injection for Dogs, 50mL","","Monthly","0.50 / month","19 orders","2024-05-30 — 2026-04-22","$1,409.94","for 19 box","Not mapped"
"Zycortal Suspension (Desoxycorticosterone Pivalate) Injectable, 4mL","","Monthly","0.50 / month","7 orders","2025-01-23 — 2026-03-12","$1,397.48","for 8 vial","Not mapped"
"PPVD NC NeuroCare","25lbs","Quarterly","0.50 / quarter","4 orders","2025-01-03 — 2025-07-29","$992.94","for 10 order unit","Not mapped"
"Alfaxan Multidose (Alfaxalone) Anesthetic Injection for Cats and Dogs 10mg/mL, 20mL","","Monthly","0.50 / month","11 orders","2024-04-22 — 2026-03-30","$923.55","for 11 vial","Not mapped"
"BUPRENORPHINE 0.3MG/ML(CIII) 5X1ML VIALS","","Monthly","0.16 / month","9 orders","2024-09-30 — 2026-03-23","$808.82","for 10 box","Not mapped"
"Primary IV Set, Macrobore Prepierced Y-Site, 80""","","Monthly","13.85 / month","32 orders","2024-05-21 — 2026-03-30","$760.94","for 363 each","Not mapped"
"Surflo Injection Plug","Luer Lock","Monthly","32.97 / month","17 orders","2024-04-22 — 2026-04-07","$725.00","for 850 each","Not mapped"
"Gabapentin Catnip Scented Tiny Tabs","25 mg/tab, 100 Tablet","Monthly","1.49 / month","6 orders","2025-09-02 — 2026-03-12","$712.80","for 16 bottle","Not mapped"
"Ostimax Chewables 25 mg 90 Count","B90","Monthly","0.66 / month","12 orders","2025-01-20 — 2026-03-12","$712.63","for 12 bottle","Not mapped"
"Onsior (Robenacoxib) Solution for Injection, 20mL","","Quarterly","0.50 / quarter","4 orders","2024-09-12 — 2026-04-07","$705.13","for 4 vial","Not mapped"
"Euthaphen Injection Solution","100Ml","Quarterly","1.00 / quarter","8 orders","2024-06-06 — 2026-03-12","$659.06","for 9 vial","Not mapped"
"Sedexodine (Dexmedetomidine Hydrochloride) Injectable Solution 0.5mg/mL, 10mL","","Monthly","0.50 / month","6 orders","2024-04-22 — 2026-03-12","$628.41","for 6 vial","Not mapped"
"Buprenorphine (AQ BM) 0.5 mg / mL Suspension, 120 mL, Chicken","","EOW","0.31 / EOW","6 orders","2025-09-19 — 2026-03-23","$570.00","for 6 bottle","Not mapped"
"Kennel Pads with Blue Polypropylene Fluid Repellent","50 Count","Monthly","0.83 / month","13 orders","2025-01-20 — 2026-03-24","$542.27","for 18 box","Not mapped"
"Dolorex (butorphanol tartrate)","50mL Vial (10mg/ml)","Quarterly","0.25 / quarter","3 orders","2024-04-22 — 2025-12-05","$517.15","for 3 bottle","Not mapped"
"Micro Bore Extension Set","T Connector, Luer Lock, 5""","Monthly","8.24 / month","11 orders","2025-01-07 — 2026-03-30","$510.00","for 150 set","Not mapped"
"Pimobendan Quad tab","5 mg/tab, 100 Tablet","Monthly","0.66 / month","4 orders","2025-10-23 — 2026-03-12","$434.70","for 6 bottle","Not mapped"
"Pivetal Plastic Prescription Vials","Cobalt Blue, 8 Dram, 410 Count","Monthly","0.33 / month","7 orders","2025-02-10 — 2026-02-26","$413.29","for 7 box","Not mapped"
"Nutramax Consil Bone Graft Putty, 10ml","","Quarterly","0.50 / quarter","2 orders","2025-06-10 — 2026-02-19","$409.98","for 2 order unit","Not mapped"
"Visbiome Vet High Potency Probiotic Capsules","B40","Monthly","1.32 / month","9 orders","2025-09-16 — 2026-03-30","$386.07","for 13 box","Not mapped"
"Sur-Vet Surflo ETFE IV Catheter, Pink, 20g x 1.0""","","Monthly","16.49 / month","6 orders","2024-08-26 — 2026-03-23","$378.30","for 270 each","Not mapped"
"Hydrocodone Chloride ER Suspension","115ml","Monthly","0.16 / month","3 orders","2025-02-26 — 2025-09-23","$360.84","for 6 order unit","Not mapped"
"Synotic Otic Solution for Dogs, 60mL","","Quarterly","0.50 / quarter","4 orders","2024-10-31 — 2026-02-19","$336.96","for 4 bottle","Not mapped"
"SurFlo Winged IV Infusion Set, Thin Wall, Blue, 23g x 0.75"" with 12"" Tubing","","Quarterly","62.50 / quarter","8 orders","2024-06-06 — 2026-04-07","$311.00","for 400 each","Not mapped"
"InCoag aPTT/PT CWB Test kit (10 tests)","","Quarterly","0.25 / quarter","1 order","2025-08-05","$308.69","for 1 box","Not mapped"
"Potassium Chloride Injection Flip-Top Vial","20ml (40Meq), 25 Count","Quarterly","0.25 / quarter","2 orders","2024-05-21 — 2025-10-31","$308.10","for 2 box","Not mapped"
"Maropitant Citrate Tablets for Dogs, 60 mg 60 Count Bottle","","EOW","0.15 / EOW","1 order","2026-03-22","$282.26","for 1 bottle","Not mapped"
"E-Z SCRUB ULTRADEX SCRUB BRUSH 30 CT #371163","","Monthly","0.16 / month","9 orders","2024-05-06 — 2026-01-15","$273.31","for 9 each","Not mapped"
